shift_id,nurse_id,unit_id,shift_date,shift_type,scheduled_start,scheduled_end,actual_start,actual_end,total_hours_worked,overtime_minutes,patients_assigned,break_taken,after_shift_charting_minutes,missed_meals,notes
SHF-026,NRS-012,UNIT-002,2026-02-24,Night,19:00,07:00,18:50,07:30,12.7,30,2,Yes,20,0,Standard ICU night.
SHF-027,NRS-014,UNIT-002,2026-02-24,Night,19:00,07:00,18:55,08:00,13.1,60,2,No,50,1,Junior nurse. Double-checking all entries.
SHF-028,NRS-015,UNIT-003,2026-02-24,Day,07:00,19:00,06:50,19:40,12.8,40,7,Yes,25,0,Moderate ED day.
SHF-029,NRS-016,UNIT-003,2026-02-24,Day,07:00,19:00,06:45,19:30,12.8,30,6,Yes,20,0,ED charge. Good documentation compliance.
SHF-030,NRS-018,UNIT-003,2026-02-24,Night,19:00,07:00,18:50,07:35,12.8,35,6,No,30,1,Busy ED night. MVA cases.
SHF-031,NRS-020,UNIT-003,2026-02-24,Night,19:00,07:00,18:55,07:20,12.4,20,5,Yes,15,0,Manageable ED night.
SHF-032,NRS-001,UNIT-001,2026-02-25,Day,07:00,19:00,06:48,19:30,12.7,30,5,Yes,20,0,Average day. Caught up on charting.
SHF-033,NRS-002,UNIT-001,2026-02-25,Day,07:00,19:00,06:55,20:05,13.2,65,6,No,50,1,Continues to struggle with documentation volume.
SHF-034,NRS-003,UNIT-001,2026-02-25,Day,07:00,19:00,06:45,19:10,12.4,10,4,Yes,5,0,Light patient load. Mentoring new nurse.
SHF-035,NRS-007,UNIT-001,2026-02-25,Day,07:00,19:00,06:40,19:25,12.8,25,4,Yes,15,0,Charge duties. Helped new nurses with charting.
SHF-036,NRS-005,UNIT-001,2026-02-25,Night,19:00,07:00,18:50,07:30,12.7,30,5,Yes,20,0,Normal night.
SHF-037,NRS-008,UNIT-001,2026-02-25,Night,19:00,07:00,18:50,07:45,12.9,45,6,No,35,1,High census overnight.
SHF-038,NRS-009,UNIT-002,2026-02-25,Day,07:00,19:00,06:50,19:50,13.0,50,2,Yes,35,0,Continuous drip titrations. Hourly documentation.
SHF-039,NRS-011,UNIT-002,2026-02-25,Day,07:00,19:00,06:40,19:35,12.9,35,2,Yes,20,0,Charge nurse. Coordinated with multiple services.
SHF-040,NRS-013,UNIT-002,2026-02-25,Night,19:00,07:00,18:55,07:35,12.7,35,2,Yes,25,0,Post-op patient. Frequent neuro checks and charting.
SHF-041,NRS-014,UNIT-002,2026-02-25,Night,19:00,07:00,18:55,08:10,13.3,70,2,No,55,1,Struggling with ICU documentation complexity.
SHF-042,NRS-015,UNIT-003,2026-02-25,Day,07:00,19:00,06:50,19:45,12.9,45,8,No,30,1,Busy ED. Multiple documentation deadlines.
SHF-043,NRS-017,UNIT-003,2026-02-25,Day,07:00,19:00,06:55,20:05,13.2,65,8,No,50,2,Overwhelmed. Asked for help with charting.
SHF-044,NRS-018,UNIT-003,2026-02-25,Night,19:00,07:00,18:50,07:25,12.6,25,5,Yes,15,0,Quiet ED night.
SHF-045,NRS-019,UNIT-003,2026-02-25,Night,19:00,07:00,18:55,07:55,13.0,55,7,No,45,1,Back-to-back admits. Documentation lag.
