escalation_id,ticket_id,from_tier,to_tier,timestamp,reason,doc_time_min,open_items,engineer_from,engineer_to
ESC-067,TKT-0270,Tier1,Tier2,2026-03-17T06:30:00Z,Flex grid spectrum contention on long-haul,16,Spectrum utilization map; channel plan,ENG-005,ENG-013
ESC-068,TKT-0270,Tier2,Tier3,2026-03-17T10:15:00Z,Spectrum re-planning needed for new wavelengths,22,Spectral engineering study; cost estimate,ENG-013,ENG-003
ESC-069,TKT-0275,Tier1,Tier2,2026-03-17T14:00:00Z,CAM table overflow causing intermittent drops,12,MAC address analysis; VLAN pruning plan,ENG-022,ENG-014
ESC-070,TKT-0280,Tier1,Tier2,2026-03-18T07:45:00Z,QoS DSCP remarking affecting premium services,14,DSCP marking map; policy verification data,ENG-005,ENG-016
ESC-071,TKT-0285,Tier2,Tier3,2026-03-18T11:30:00Z,LISP fabric scaling issue in growing campus,20,LISP map-server capacity; site scaling plan,ENG-017,ENG-002
ESC-072,TKT-0290,Tier1,Tier2,2026-03-18T15:15:00Z,Metro DWDM add/drop port alarm on customer circuit,16,Customer SLA status; optical path data,ENG-014,ENG-001
ESC-073,TKT-0290,Tier2,Tier3,2026-03-19T07:00:00Z,DWDM issue requires optical plant assessment,22,Fiber plant report; optical budget analysis,ENG-001,ENG-013
ESC-074,TKT-0295,Tier1,Tier2,2026-03-19T10:45:00Z,Ethernet CFM fault on enterprise EVC,12,CFM MEP/MIP status; service topology,ENG-022,ENG-002
ESC-075,TKT-0295,Tier2,Tier3,2026-03-19T14:30:00Z,Persistent ETH service issue needs vendor support,20,Vendor TAC data; equipment diagnostics,ENG-002,ENG-003
ESC-076,TKT-0298,Tier1,Tier2,2026-03-20T07:30:00Z,ROADM degree power imbalance affecting channels,16,ROADM status; power equalization data,ENG-005,ENG-013
ESC-077,TKT-0298,Tier2,Tier3,2026-03-20T11:15:00Z,ROADM calibration failure needs vendor field eng,24,Vendor engagement; calibration procedure,ENG-013,ENG-003
ESC-078,TKT-0300,Tier1,Tier2,2026-03-20T15:00:00Z,Lateral movement detection needs IR escalation,18,IOC data; network segmentation status,ENG-005,ENG-004
ESC-079,TKT-0300,Tier2,Tier3,2026-03-21T07:00:00Z,Active threat requires full incident response,30,IR playbook activation; containment plan; evidence preservation,ENG-004,ENG-018
ESC-080,TKT-0300,Tier3,Management,2026-03-21T12:00:00Z,Major security incident requiring exec notification,35,Exec briefing; legal review; regulatory notification; PR statement,ENG-018,ENG-018
