interaction_id,engineer_id,timestamp,system,action,alarm_id,duration_ms,correlation_group,notes
NMS-0037,ENG-012,2026-03-01T13:23:28.123Z,SolarWinds,view_device_detail,,3800,CG-0008,Checking equipment temperature readings
NMS-0038,ENG-012,2026-03-01T13:26:55.456Z,ServiceNow,create_ticket,,3600,CG-0008,P2 environmental ticket dispatching facilities
NMS-0039,ENG-013,2026-03-01T14:08:22.789Z,SolarWinds,acknowledge_alarm,ALM-4829,1000,CG-0009,Ethernet CRC errors on 100G trunk
NMS-0040,ENG-013,2026-03-01T14:09:48.012Z,Ciena MCP,view_performance,,5600,CG-0009,Checking optical power and BER on trunk
NMS-0041,ENG-013,2026-03-01T14:13:15.345Z,Ciena MCP,run_diagnostic,,14200,CG-0009,Loopback and BERT test on affected path
NMS-0042,ENG-013,2026-03-01T14:18:40.678Z,SolarWinds,update_alarm,ALM-4829,1300,CG-0009,Dirty connector suspected based on readings
NMS-0043,ENG-013,2026-03-01T14:20:55.901Z,ServiceNow,create_ticket,,3100,CG-0009,Dispatch ticket for fiber cleaning
NMS-0044,ENG-014,2026-03-01T15:30:18.234Z,SolarWinds,view_dashboard,,2200,,Pre-maintenance window dashboard review
NMS-0045,ENG-014,2026-03-01T15:33:42.567Z,SolarWinds,suppress_alarm,ALM-4830,1600,CG-0010,Suppressing alarms for planned maintenance
NMS-0046,ENG-014,2026-03-01T15:36:05.890Z,Cisco Prime,run_diagnostic,,9800,CG-0010,Pre-maintenance health check on target node
NMS-0047,ENG-014,2026-03-01T15:40:28.123Z,ServiceNow,update_ticket,,4500,CG-0010,Updating change ticket with pre-check results
NMS-0048,ENG-016,2026-03-01T16:12:55.456Z,SolarWinds,acknowledge_alarm,ALM-4831,850,CG-0011,VoIP quality degradation alarm
NMS-0049,ENG-016,2026-03-01T16:14:20.789Z,SolarWinds,view_performance,,4100,CG-0011,Checking QoS metrics and jitter values
NMS-0050,ENG-016,2026-03-01T16:17:45.012Z,Cisco Prime,run_diagnostic,,10500,CG-0011,IP SLA probe and voice quality analysis
NMS-0051,ENG-016,2026-03-01T16:21:08.345Z,ServiceNow,create_ticket,,3300,CG-0011,Ticket for QoS policy adjustment
NMS-0052,ENG-017,2026-03-01T17:05:32.678Z,SolarWinds,acknowledge_alarm,ALM-4832,1050,CG-0012,Memory utilization warning on PE router
NMS-0053,ENG-017,2026-03-01T17:07:15.901Z,Cisco Prime,view_device_detail,,4400,CG-0012,Checking process memory and BGP table size
NMS-0054,ENG-017,2026-03-01T17:10:48.234Z,Cisco Prime,run_diagnostic,,8100,CG-0012,Show memory and show process on router
NMS-0055,ENG-017,2026-03-01T17:14:22.567Z,ServiceNow,create_ticket,,2700,CG-0012,Monitoring ticket for memory trend analysis
NMS-0056,ENG-001,2026-03-01T18:30:15.890Z,NetCool,acknowledge_alarm,ALM-4833,1150,CG-0013,Fiber cut alarm on backup path SEG-001
NMS-0057,ENG-001,2026-03-01T18:31:42.123Z,SolarWinds,view_topology,,3900,CG-0013,Assessing impact of backup path loss
NMS-0058,ENG-001,2026-03-01T18:34:28.456Z,Ciena MCP,run_diagnostic,,7600,CG-0013,OTDR locating break point on backup fiber
NMS-0059,ENG-001,2026-03-01T18:38:05.789Z,ServiceNow,create_ticket,,4800,CG-0013,P2 ticket for backup fiber restoration
NMS-0060,ENG-001,2026-03-01T18:41:30.012Z,ServiceNow,update_ticket,,3200,CG-0013,Added GPS coordinates for repair crew dispatch
NMS-0061,ENG-002,2026-03-01T19:15:22.345Z,SolarWinds,acknowledge_alarm,ALM-4834,980,CG-0014,ISIS adjacency flap on distribution switch
NMS-0062,ENG-002,2026-03-01T19:16:45.678Z,Cisco Prime,run_diagnostic,,11200,CG-0014,Checking ISIS neighbors and interface errors
NMS-0063,ENG-002,2026-03-01T19:20:18.901Z,Splunk,search_logs,,8900,CG-0014,Correlating syslog for root cause
NMS-0064,ENG-002,2026-03-01T19:24:05.234Z,ServiceNow,create_ticket,,3700,CG-0014,Ticket for ISIS instability investigation
NMS-0065,ENG-003,2026-03-01T20:02:48.567Z,SolarWinds,view_dashboard,,2300,,Evening shift handoff dashboard review
NMS-0066,ENG-003,2026-03-01T20:05:22.890Z,SolarWinds,acknowledge_alarm,ALM-4835,1080,CG-0015,SNMP trap - fan failure on aggregation SW
NMS-0067,ENG-003,2026-03-01T20:06:55.123Z,SolarWinds,view_device_detail,,3200,CG-0015,Checking hardware health and fan redundancy
NMS-0068,ENG-003,2026-03-01T20:09:30.456Z,ServiceNow,create_ticket,,2500,CG-0015,Hardware ticket for fan replacement
NMS-0069,ENG-004,2026-03-01T21:18:12.789Z,Splunk,search_logs,,18200,CG-0016,Threat hunting - unusual SSH brute force
NMS-0070,ENG-004,2026-03-01T21:24:35.012Z,Fortinet,update_policy,,7800,CG-0016,Blocking offending IP ranges at edge
NMS-0071,ENG-004,2026-03-01T21:28:10.345Z,Splunk,search_logs,,9600,CG-0016,Verifying block effectiveness
NMS-0072,ENG-004,2026-03-01T21:32:45.678Z,ServiceNow,create_ticket,,5200,CG-0016,Security incident with IOCs documented
NMS-0073,ENG-005,2026-03-02T06:08:15.901Z,SolarWinds,view_dashboard,,2500,,Morning shift start dashboard check
NMS-0074,ENG-005,2026-03-02T06:12:40.234Z,SolarWinds,acknowledge_alarm,ALM-4836,1020,CG-0017,OSPF neighbor down on access layer
NMS-0075,ENG-005,2026-03-02T06:14:18.567Z,Cisco Prime,run_diagnostic,,9400,CG-0017,Show ip ospf neighbor and interface status
NMS-0076,ENG-005,2026-03-02T06:18:55.890Z,ServiceNow,create_ticket,,3100,CG-0017,Ticket for OSPF adjacency restoration
NMS-0077,ENG-006,2026-03-02T07:22:32.123Z,MRTG,view_utilization,,3800,CG-0018,Morning utilization review for capacity
NMS-0078,ENG-006,2026-03-02T07:25:55.456Z,SolarWinds,acknowledge_alarm,ALM-4837,950,CG-0018,Port channel member link failure
NMS-0079,ENG-006,2026-03-02T07:27:30.789Z,Cisco Prime,view_device_detail,,4600,CG-0018,Checking LAG member status and load balance
NMS-0080,ENG-006,2026-03-02T07:31:08.012Z,ServiceNow,create_ticket,,3000,CG-0018,Ticket for LAG member link restoration
NMS-0081,ENG-011,2026-03-02T08:45:22.345Z,SolarWinds,acknowledge_alarm,ALM-4838,1200,CG-0019,QoS queue drops on interco trunk
NMS-0082,ENG-011,2026-03-02T08:47:05.678Z,Cisco Prime,run_diagnostic,,10800,CG-0019,Show policy-map and queue statistics
NMS-0083,ENG-011,2026-03-02T08:51:40.901Z,SolarWinds,update_alarm,ALM-4838,1500,CG-0019,Transient congestion resolved after traffic shift
NMS-0084,ENG-011,2026-03-02T08:54:15.234Z,ServiceNow,update_ticket,,2600,CG-0019,Documented as transient with traffic analysis
NMS-0085,ENG-012,2026-03-02T09:30:48.567Z,SolarWinds,view_dashboard,,2100,,Mid-morning health check
NMS-0086,ENG-012,2026-03-02T09:33:22.890Z,NetCool,acknowledge_alarm,ALM-4839,880,CG-0020,Power alarm at remote cabinet site
NMS-0087,ENG-012,2026-03-02T09:34:55.123Z,SolarWinds,view_device_detail,,3400,CG-0020,Checking UPS status and battery levels
NMS-0088,ENG-012,2026-03-02T09:38:18.456Z,ServiceNow,create_ticket,,3800,CG-0020,Dispatch ticket for generator check at site
NMS-0089,ENG-013,2026-03-02T10:15:42.789Z,SolarWinds,acknowledge_alarm,ALM-4840,1080,CG-0021,Multicast stream failure on CDN segment
NMS-0090,ENG-013,2026-03-02T10:17:28.012Z,Cisco Prime,run_diagnostic,,13500,CG-0021,Show ip mroute and PIM neighbor check
NMS-0091,ENG-013,2026-03-02T10:22:55.345Z,Ciena MCP,view_performance,,5100,CG-0021,Checking underlying transport path health
NMS-0092,ENG-013,2026-03-02T10:26:30.678Z,ServiceNow,create_ticket,,4200,CG-0021,Multicast restoration ticket with trace data
NMS-0093,ENG-014,2026-03-02T11:40:15.901Z,SolarWinds,acknowledge_alarm,ALM-4841,920,CG-0022,NTP sync failure across access nodes
NMS-0094,ENG-014,2026-03-02T11:41:48.234Z,Cisco Prime,run_diagnostic,,7800,CG-0022,Show ntp associations on affected devices
NMS-0095,ENG-014,2026-03-02T11:45:22.567Z,SolarWinds,update_alarm,ALM-4841,1200,CG-0022,Stratum 1 source unreachable - failover to S2
NMS-0096,ENG-014,2026-03-02T11:48:05.890Z,ServiceNow,create_ticket,,3400,CG-0022,Ticket for NTP stratum 1 source restoration
NMS-0097,ENG-016,2026-03-02T12:55:38.123Z,SolarWinds,acknowledge_alarm,ALM-4842,1050,CG-0023,STP topology change on campus distribution
NMS-0098,ENG-016,2026-03-02T12:57:15.456Z,Cisco Prime,view_topology,,4900,CG-0023,Checking spanning tree root and path changes
NMS-0099,ENG-016,2026-03-02T13:01:42.789Z,Cisco Prime,run_diagnostic,,11600,CG-0023,Show spanning-tree detail on affected VLANs
NMS-0100,ENG-016,2026-03-02T13:05:18.012Z,ServiceNow,create_ticket,,3500,CG-0023,Investigation ticket for unexpected STP change
NMS-0101,ENG-017,2026-03-02T14:20:45.345Z,SolarWinds,acknowledge_alarm,ALM-4843,980,CG-0024,DNS resolution failure for monitoring probes
NMS-0102,ENG-017,2026-03-02T14:22:20.678Z,Cisco Prime,run_diagnostic,,6800,CG-0024,Testing DNS resolution from multiple nodes
NMS-0103,ENG-017,2026-03-02T14:26:05.901Z,SolarWinds,update_alarm,ALM-4843,1100,CG-0024,DNS server recovered after cache rebuild
NMS-0104,ENG-017,2026-03-02T14:28:38.234Z,ServiceNow,update_ticket,,2400,CG-0024,Documented DNS hiccup with resolution time
NMS-0105,ENG-001,2026-03-02T15:42:12.567Z,SolarWinds,acknowledge_alarm,ALM-4844,1150,CG-0025,Fiber degradation on primary ring span 5-7
NMS-0106,ENG-001,2026-03-02T15:44:05.890Z,Ciena MCP,view_performance,,5800,CG-0025,Optical power trending below threshold
NMS-0107,ENG-001,2026-03-02T15:48:32.123Z,Ciena MCP,run_diagnostic,,12100,CG-0025,OTDR measurements showing loss increase
NMS-0108,ENG-001,2026-03-02T15:53:18.456Z,ServiceNow,create_ticket,,4600,CG-0025,Proactive fiber maintenance ticket with OTDR
NMS-0109,ENG-002,2026-03-02T16:35:45.789Z,Splunk,search_logs,,14800,CG-0026,Anomaly detection flagged unusual SNMP poll
NMS-0110,ENG-002,2026-03-02T16:40:22.012Z,SolarWinds,view_device_detail,,3700,CG-0026,Investigating SNMP community string mismatch
NMS-0111,ENG-002,2026-03-02T16:44:55.345Z,SolarWinds,update_config,,5200,CG-0026,Correcting SNMP v3 user credentials on device
NMS-0112,ENG-002,2026-03-02T16:48:30.678Z,ServiceNow,create_ticket,,2800,CG-0026,Config change ticket for SNMP remediation
NMS-0113,ENG-003,2026-03-02T17:55:18.901Z,SolarWinds,acknowledge_alarm,ALM-4845,1000,CG-0027,Chassis alarm on modular core router
NMS-0114,ENG-003,2026-03-02T17:57:02.234Z,Cisco Prime,view_device_detail,,4200,CG-0027,Checking linecard status and hardware errors
NMS-0115,ENG-003,2026-03-02T18:01:35.567Z,Cisco Prime,run_diagnostic,,9500,CG-0027,Diagnostic on failing linecard in slot 5
NMS-0116,ENG-003,2026-03-02T18:05:48.890Z,ServiceNow,create_ticket,,4000,CG-0027,RMA ticket for linecard with vendor TAC case
NMS-0117,ENG-004,2026-03-02T19:12:22.123Z,Splunk,search_logs,,16400,CG-0028,Investigating potential data exfiltration pattern
NMS-0118,ENG-004,2026-03-02T19:18:55.456Z,Fortinet,view_logs,,8200,CG-0028,Firewall flow analysis for flagged traffic
NMS-0119,ENG-004,2026-03-02T19:24:30.789Z,Fortinet,update_policy,,6500,CG-0028,Implementing temporary block on suspect flows
NMS-0120,ENG-004,2026-03-02T19:29:05.012Z,ServiceNow,create_ticket,,6800,CG-0028,P1 security incident with full forensic trail
NMS-0121,ENG-005,2026-03-02T20:35:18.345Z,SolarWinds,view_dashboard,,2200,,Evening mini health check
NMS-0122,ENG-005,2026-03-02T20:38:45.678Z,SolarWinds,acknowledge_alarm,ALM-4846,1020,CG-0029,SFP module warning on 10G uplink
NMS-0123,ENG-005,2026-03-02T20:40:30.901Z,SolarWinds,view_device_detail,,3500,CG-0029,Checking SFP DOM readings and spare status
NMS-0124,ENG-005,2026-03-02T20:43:55.234Z,ServiceNow,create_ticket,,2600,CG-0029,Proactive SFP replacement ticket
NMS-0125,ENG-006,2026-03-03T06:05:08.567Z,SolarWinds,view_dashboard,,2400,,Morning shift start composite view
NMS-0126,ENG-006,2026-03-03T06:08:35.890Z,MRTG,view_utilization,,3600,CG-0030,Overnight utilization review for anomalies
NMS-0127,ENG-006,2026-03-03T06:12:18.123Z,SolarWinds,acknowledge_alarm,ALM-4847,1100,CG-0030,Trunk utilization exceeded 85% overnight
NMS-0128,ENG-006,2026-03-03T06:15:42.456Z,MRTG,export_report,,5800,CG-0030,Generating traffic report for capacity team
NMS-0129,ENG-006,2026-03-03T06:19:05.789Z,ServiceNow,create_ticket,,3200,CG-0030,Capacity planning escalation ticket
NMS-0130,ENG-011,2026-03-03T07:28:32.012Z,SolarWinds,acknowledge_alarm,ALM-4848,980,CG-0031,VRRP failover event on distribution pair
NMS-0131,ENG-011,2026-03-03T07:30:15.345Z,Cisco Prime,view_topology,,4400,CG-0031,Checking VRRP state and priority on both nodes
NMS-0132,ENG-011,2026-03-03T07:33:48.678Z,Cisco Prime,run_diagnostic,,8200,CG-0031,Show vrrp and standby on affected pair
NMS-0133,ENG-011,2026-03-03T07:37:22.901Z,ServiceNow,create_ticket,,3000,CG-0031,Ticket to investigate VRRP preemption cause
NMS-0134,ENG-012,2026-03-03T08:42:15.234Z,SolarWinds,acknowledge_alarm,ALM-4849,870,CG-0032,AAA server timeout on auth requests
NMS-0135,ENG-012,2026-03-03T08:43:48.567Z,Cisco Prime,run_diagnostic,,7600,CG-0032,Testing RADIUS reachability and latency
NMS-0136,ENG-012,2026-03-03T08:47:22.890Z,SolarWinds,update_alarm,ALM-4849,1300,CG-0032,Secondary AAA server handling load
NMS-0137,ENG-012,2026-03-03T08:49:55.123Z,ServiceNow,create_ticket,,2900,CG-0032,Ticket for primary AAA server recovery
NMS-0138,ENG-013,2026-03-03T09:55:40.456Z,Ciena MCP,view_performance,,5400,CG-0033,Routine optical network health review
NMS-0139,ENG-013,2026-03-03T09:59:15.789Z,SolarWinds,acknowledge_alarm,ALM-4850,1050,CG-0033,Chromatic dispersion warning on long-haul
NMS-0140,ENG-013,2026-03-03T10:02:48.012Z,Ciena MCP,run_diagnostic,,11500,CG-0033,DCM effectiveness and signal quality check
NMS-0141,ENG-013,2026-03-03T10:07:22.345Z,ServiceNow,create_ticket,,3800,CG-0033,Optical network maintenance ticket
NMS-0142,ENG-014,2026-03-03T11:15:55.678Z,SolarWinds,acknowledge_alarm,ALM-4851,920,CG-0034,HSRP state mismatch on gateway pair
NMS-0143,ENG-014,2026-03-03T11:17:30.901Z,Cisco Prime,run_diagnostic,,8800,CG-0034,Show standby brief on both gateway nodes
NMS-0144,ENG-014,2026-03-03T11:21:05.234Z,SolarWinds,update_alarm,ALM-4851,1200,CG-0034,HSRP recovered after clearing ARP table
NMS-0145,ENG-014,2026-03-03T11:23:38.567Z,ServiceNow,update_ticket,,2500,CG-0034,Documented HSRP recovery steps
NMS-0146,ENG-016,2026-03-03T12:30:12.890Z,SolarWinds,view_dashboard,,2300,,Noon shift dashboard assessment
NMS-0147,ENG-016,2026-03-03T12:33:45.123Z,SolarWinds,acknowledge_alarm,ALM-4852,1000,CG-0035,Multicast IGMP snooping table overflow
NMS-0148,ENG-016,2026-03-03T12:35:28.456Z,Cisco Prime,run_diagnostic,,9200,CG-0035,Show ip igmp snooping and group count
NMS-0149,ENG-016,2026-03-03T12:39:55.789Z,ServiceNow,create_ticket,,3400,CG-0035,Ticket for IGMP table tuning
NMS-0150,ENG-017,2026-03-03T13:48:22.012Z,SolarWinds,acknowledge_alarm,ALM-4853,1120,CG-0036,ARP storm detected on VLAN 200
NMS-0151,ENG-017,2026-03-03T13:50:05.345Z,Cisco Prime,run_diagnostic,,10200,CG-0036,DAI and ARP inspection on affected segment
NMS-0152,ENG-017,2026-03-03T13:54:38.678Z,Fortinet,view_logs,,6400,CG-0036,Checking NAC logs for rogue device
NMS-0153,ENG-017,2026-03-03T13:58:15.901Z,ServiceNow,create_ticket,,4200,CG-0036,Security and network ticket for ARP storm
NMS-0154,ENG-001,2026-03-03T15:05:42.234Z,SolarWinds,acknowledge_alarm,ALM-4854,980,CG-0037,LLDP neighbor change on core interconnect
NMS-0155,ENG-001,2026-03-03T15:07:18.567Z,SolarWinds,view_topology,,3800,CG-0037,Verifying expected vs actual LLDP neighbors
NMS-0156,ENG-001,2026-03-03T15:10:55.890Z,ServiceNow,create_ticket,,2400,CG-0037,Investigation ticket for unexpected neighbor
NMS-0157,ENG-002,2026-03-03T16:22:08.123Z,SolarWinds,acknowledge_alarm,ALM-4855,1080,CG-0038,DHCP pool exhaustion on access segment
NMS-0158,ENG-002,2026-03-03T16:24:42.456Z,Cisco Prime,run_diagnostic,,7400,CG-0038,Show ip dhcp pool and binding stats
NMS-0159,ENG-002,2026-03-03T16:28:15.789Z,Cisco Prime,update_config,,5600,CG-0038,Expanding DHCP scope with /22 assignment
NMS-0160,ENG-002,2026-03-03T16:31:48.012Z,ServiceNow,create_ticket,,3200,CG-0038,Change ticket for DHCP scope expansion
NMS-0161,ENG-003,2026-03-03T17:40:22.345Z,SolarWinds,acknowledge_alarm,ALM-4856,1150,CG-0039,DWDM amplifier degradation on span 3
NMS-0162,ENG-003,2026-03-03T17:42:55.678Z,Ciena MCP,view_performance,,6200,CG-0039,Checking EDFA gain and noise figure
NMS-0163,ENG-003,2026-03-03T17:47:30.901Z,Ciena MCP,run_diagnostic,,13800,CG-0039,Full optical path analysis span by span
NMS-0164,ENG-003,2026-03-03T17:52:48.234Z,ServiceNow,create_ticket,,5000,CG-0039,P2 ticket for EDFA replacement planning
NMS-0165,ENG-004,2026-03-03T18:55:15.567Z,Splunk,search_logs,,17600,CG-0040,Investigating port scan from internal host
NMS-0166,ENG-004,2026-03-03T19:01:42.890Z,Fortinet,view_logs,,9100,CG-0040,Cross-referencing with firewall deny logs
NMS-0167,ENG-004,2026-03-03T19:06:18.123Z,Fortinet,update_policy,,7200,CG-0040,Quarantining compromised internal host
NMS-0168,ENG-004,2026-03-03T19:10:55.456Z,ServiceNow,create_ticket,,6200,CG-0040,Malware incident ticket with containment steps
NMS-0169,ENG-005,2026-03-03T20:18:32.789Z,SolarWinds,acknowledge_alarm,ALM-4857,920,CG-0041,Stack ring failure on access switch stack
NMS-0170,ENG-005,2026-03-03T20:20:15.012Z,Cisco Prime,view_device_detail,,4100,CG-0041,Checking stack member status and ring health
NMS-0171,ENG-005,2026-03-03T20:23:48.345Z,Cisco Prime,run_diagnostic,,8600,CG-0041,Show switch stack-ring and member diagnostics
NMS-0172,ENG-005,2026-03-03T20:27:22.678Z,ServiceNow,create_ticket,,3600,CG-0041,Ticket for stack ring cable replacement
NMS-0173,ENG-006,2026-03-04T06:10:05.901Z,SolarWinds,view_dashboard,,2500,,Morning shift dashboard review
NMS-0174,ENG-006,2026-03-04T06:13:38.234Z,MRTG,view_utilization,,3900,CG-0042,Checking weekend traffic patterns
NMS-0175,ENG-006,2026-03-04T06:17:15.567Z,SolarWinds,acknowledge_alarm,ALM-4858,1100,CG-0042,CDN cache hit ratio below threshold
NMS-0176,ENG-006,2026-03-04T06:20:48.890Z,ServiceNow,create_ticket,,2800,CG-0042,Ticket for CDN cache optimization review
NMS-0177,ENG-011,2026-03-04T07:35:22.123Z,SolarWinds,acknowledge_alarm,ALM-4859,1050,CG-0043,MPLS TE tunnel path computation failure
NMS-0178,ENG-011,2026-03-04T07:37:55.456Z,Cisco Prime,view_topology,,5600,CG-0043,Checking CSPF computation and constraints
NMS-0179,ENG-011,2026-03-04T07:42:28.789Z,Cisco Prime,run_diagnostic,,12200,CG-0043,Show mpls traffic-eng tunnels and RSVP
NMS-0180,ENG-011,2026-03-04T07:47:05.012Z,ServiceNow,create_ticket,,4100,CG-0043,TE tunnel reroute ticket with path analysis
NMS-0181,ENG-012,2026-03-04T08:52:38.345Z,SolarWinds,acknowledge_alarm,ALM-4860,880,CG-0044,Temperature warning in outdoor cabinet
NMS-0182,ENG-012,2026-03-04T08:54:12.678Z,SolarWinds,view_device_detail,,3300,CG-0044,Checking ambient temp and TCA history
NMS-0183,ENG-012,2026-03-04T08:57:45.901Z,ServiceNow,create_ticket,,2700,CG-0044,Dispatch for cabinet cooling inspection
NMS-0184,ENG-013,2026-03-04T10:08:18.234Z,Ciena MCP,view_performance,,5200,CG-0045,Pre-maintenance optical path assessment
NMS-0185,ENG-013,2026-03-04T10:12:42.567Z,SolarWinds,suppress_alarm,ALM-4861,1400,CG-0045,Suppressing for planned ROADM maintenance
NMS-0186,ENG-013,2026-03-04T10:15:18.890Z,ServiceNow,update_ticket,,3600,CG-0045,Pre-maintenance checks documented in change
NMS-0187,ENG-014,2026-03-04T11:22:55.123Z,SolarWinds,acknowledge_alarm,ALM-4862,1020,CG-0046,TACACS+ authentication delay spike
NMS-0188,ENG-014,2026-03-04T11:24:38.456Z,Cisco Prime,run_diagnostic,,7200,CG-0046,Testing TACACS+ connectivity and latency
NMS-0189,ENG-014,2026-03-04T11:28:12.789Z,SolarWinds,update_alarm,ALM-4862,1100,CG-0046,Latency normalized after server restart
NMS-0190,ENG-014,2026-03-04T11:30:45.012Z,ServiceNow,update_ticket,,2200,CG-0046,Resolved by TACACS+ server ops team
NMS-0191,ENG-016,2026-03-04T12:40:18.345Z,SolarWinds,acknowledge_alarm,ALM-4863,950,CG-0047,MAC address table full on access switch
NMS-0192,ENG-016,2026-03-04T12:42:05.678Z,Cisco Prime,run_diagnostic,,8400,CG-0047,Show mac address-table count per VLAN
NMS-0193,ENG-016,2026-03-04T12:46:38.901Z,Cisco Prime,update_config,,5800,CG-0047,Implementing port security and MAC limits
NMS-0194,ENG-016,2026-03-04T12:50:15.234Z,ServiceNow,create_ticket,,3600,CG-0047,Config change ticket for MAC table remediation
NMS-0195,ENG-017,2026-03-04T13:55:42.567Z,SolarWinds,acknowledge_alarm,ALM-4864,1080,CG-0048,SNMP polling timeout on remote site devices
NMS-0196,ENG-017,2026-03-04T13:57:28.890Z,Cisco Prime,run_diagnostic,,6800,CG-0048,Ping and SNMP walk test to remote devices
NMS-0197,ENG-017,2026-03-04T14:01:05.123Z,SolarWinds,update_alarm,ALM-4864,1200,CG-0048,WAN link congestion causing SNMP timeouts
