alert_id,customer_id,ticket_id,timestamp,sla_metric,threshold,actual_value,breach_flag,area_id,severity,notification_sent,response_within_sla
SLA-044,CUST-003,TKT-0180,2026-03-10T12:00:00Z,MTTR,2.0,7.5,Yes,SA-009,Critical,Yes,No
SLA-045,CUST-020,TKT-0185,2026-03-10T15:30:00Z,Jitter,5.0,5.4,Yes,SA-006,Major,Yes,Yes
SLA-046,CUST-016,TKT-0190,2026-03-11T07:00:00Z,Availability,99.95,99.93,Yes,SA-010,Major,Yes,Yes
SLA-047,CUST-001,TKT-0195,2026-03-11T10:30:00Z,Latency,5,4.5,No,SA-001,Minor,No,Yes
SLA-048,CUST-019,TKT-0200,2026-03-11T14:00:00Z,Availability,99.95,99.91,Yes,SA-004,Major,Yes,Yes
SLA-049,CUST-005,TKT-0205,2026-03-12T07:30:00Z,MTTR,4.0,3.8,No,SA-006,Minor,No,Yes
SLA-050,CUST-025,TKT-0210,2026-03-12T10:15:00Z,Packet Loss,0.1,0.18,Yes,SA-010,Major,Yes,No
SLA-051,CUST-002,TKT-0215,2026-03-12T14:45:00Z,Availability,99.95,99.78,Yes,SA-003,Critical,Yes,No
SLA-052,CUST-002,TKT-0215,2026-03-12T16:00:00Z,MTTR,4.0,8.2,Yes,SA-003,Critical,Yes,No
SLA-053,CUST-018,TKT-0220,2026-03-13T07:00:00Z,Latency,10,11.2,Yes,SA-009,Major,Yes,Yes
SLA-054,CUST-012,TKT-0225,2026-03-13T10:30:00Z,Jitter,5.0,4.6,No,SA-006,Minor,No,Yes
SLA-055,CUST-004,TKT-0230,2026-03-13T14:00:00Z,Availability,99.95,99.88,Yes,SA-004,Major,Yes,No
SLA-056,CUST-017,TKT-0235,2026-03-14T07:30:00Z,MTTR,4.0,4.8,Yes,SA-008,Major,Yes,No
SLA-057,CUST-021,TKT-0240,2026-03-14T10:15:00Z,Availability,99.95,99.83,Yes,SA-007,Major,Yes,No
SLA-058,CUST-013,TKT-0245,2026-03-14T14:30:00Z,Packet Loss,0.1,0.06,No,SA-005,Minor,No,Yes
SLA-059,CUST-006,TKT-0250,2026-03-15T07:00:00Z,Availability,99.99,99.98,No,SA-001,Minor,No,Yes
SLA-060,CUST-023,TKT-0255,2026-03-15T10:45:00Z,Latency,5,4.8,No,SA-001,Minor,No,Yes
SLA-061,CUST-010,TKT-0260,2026-03-15T14:00:00Z,Availability,99.99,99.68,Yes,SA-009,Critical,Yes,No
SLA-062,CUST-010,TKT-0260,2026-03-15T15:30:00Z,MTTR,2.0,9.2,Yes,SA-009,Critical,Yes,No
SLA-063,CUST-010,TKT-0260,2026-03-15T17:00:00Z,Packet Loss,0.05,0.42,Yes,SA-009,Critical,Yes,No
SLA-064,CUST-015,TKT-0265,2026-03-16T07:30:00Z,Jitter,5.0,5.8,Yes,SA-003,Major,Yes,Yes
SLA-065,CUST-024,TKT-0270,2026-03-16T10:00:00Z,Availability,99.95,99.90,Yes,SA-003,Major,Yes,Yes
SLA-066,CUST-009,TKT-0275,2026-03-16T14:30:00Z,MTTR,4.0,3.1,No,SA-010,Minor,No,Yes
SLA-067,CUST-011,TKT-0280,2026-03-17T07:00:00Z,Availability,99.95,99.94,No,SA-004,Minor,No,Yes
SLA-068,CUST-007,TKT-0285,2026-03-17T10:30:00Z,Latency,10,9.8,No,SA-005,Minor,No,Yes
SLA-069,CUST-003,TKT-0290,2026-03-17T14:00:00Z,Availability,99.99,99.72,Yes,SA-009,Critical,Yes,No
SLA-070,CUST-003,TKT-0290,2026-03-17T15:30:00Z,MTTR,2.0,6.5,Yes,SA-009,Critical,Yes,No
SLA-071,CUST-020,TKT-0295,2026-03-18T07:30:00Z,Packet Loss,0.1,0.14,Yes,SA-006,Major,Yes,Yes
SLA-072,CUST-016,TKT-0298,2026-03-18T10:00:00Z,Jitter,5.0,4.2,No,SA-010,Minor,No,Yes
SLA-073,CUST-001,TKT-0300,2026-03-18T14:30:00Z,Availability,99.99,99.95,Yes,SA-001,Major,Yes,Yes
SLA-074,CUST-008,TKT-0015,2026-02-25T07:15:00Z,Availability,99.95,99.89,Yes,SA-003,Major,Yes,No
SLA-075,CUST-019,TKT-0020,2026-02-25T12:30:00Z,Latency,10,11.5,Yes,SA-004,Major,Yes,Yes
SLA-076,CUST-005,TKT-0032,2026-02-26T16:00:00Z,MTTR,4.0,4.6,Yes,SA-006,Major,Yes,No
SLA-077,CUST-022,TKT-0038,2026-02-27T10:15:00Z,Packet Loss,0.1,0.09,No,SA-005,Minor,No,Yes
SLA-078,CUST-014,TKT-0042,2026-02-27T14:45:00Z,Availability,99.99,99.97,No,SA-001,Minor,No,Yes
SLA-079,CUST-017,TKT-0048,2026-02-28T09:30:00Z,Jitter,5.0,6.1,Yes,SA-008,Major,Yes,Yes
SLA-080,CUST-021,TKT-0052,2026-02-28T13:00:00Z,MTTR,4.0,5.5,Yes,SA-007,Major,Yes,No
SLA-081,CUST-004,TKT-0058,2026-03-01T08:30:00Z,Availability,99.95,99.91,Yes,SA-004,Major,Yes,Yes
SLA-082,CUST-012,TKT-0062,2026-03-01T12:45:00Z,Latency,10,10.8,Yes,SA-006,Major,Yes,Yes
SLA-083,CUST-025,TKT-0068,2026-03-02T08:00:00Z,Packet Loss,0.1,0.21,Yes,SA-010,Major,Yes,No
SLA-084,CUST-006,TKT-0072,2026-03-02T11:30:00Z,Availability,99.99,99.98,No,SA-001,Minor,No,Yes
SLA-085,CUST-013,TKT-0078,2026-03-02T16:00:00Z,MTTR,4.0,2.8,No,SA-005,Minor,No,Yes
SLA-086,CUST-009,TKT-0082,2026-03-03T09:15:00Z,Jitter,5.0,5.2,Yes,SA-010,Major,Yes,Yes
SLA-087,CUST-023,TKT-0088,2026-03-03T13:30:00Z,Availability,99.99,99.97,No,SA-001,Minor,No,Yes
SLA-088,CUST-008,TKT-0092,2026-03-03T17:00:00Z,Latency,10,12.1,Yes,SA-003,Major,Yes,No
SLA-089,CUST-015,TKT-0098,2026-03-04T08:30:00Z,Availability,99.95,99.86,Yes,SA-003,Major,Yes,No
SLA-090,CUST-011,TKT-0102,2026-03-04T12:00:00Z,MTTR,4.0,4.2,Yes,SA-004,Major,Yes,Yes
SLA-091,CUST-003,TKT-0108,2026-03-05T08:00:00Z,Availability,99.99,99.75,Yes,SA-009,Critical,Yes,No
SLA-092,CUST-020,TKT-0112,2026-03-05T12:30:00Z,Packet Loss,0.1,0.11,Yes,SA-006,Major,Yes,Yes
SLA-093,CUST-007,TKT-0118,2026-03-05T16:00:00Z,Jitter,5.0,4.5,No,SA-005,Minor,No,Yes
SLA-094,CUST-016,TKT-0128,2026-03-06T12:00:00Z,Availability,99.95,99.89,Yes,SA-010,Major,Yes,No
SLA-095,CUST-024,TKT-0132,2026-03-07T08:30:00Z,MTTR,4.0,5.2,Yes,SA-003,Major,Yes,No
SLA-096,CUST-019,TKT-0148,2026-03-08T10:00:00Z,Latency,10,9.5,No,SA-004,Minor,No,Yes
SLA-097,CUST-005,TKT-0158,2026-03-09T08:45:00Z,Availability,99.95,99.92,Yes,SA-006,Major,Yes,Yes
SLA-098,CUST-014,TKT-0172,2026-03-10T09:30:00Z,Packet Loss,0.1,0.07,No,SA-001,Minor,No,Yes
SLA-099,CUST-018,TKT-0188,2026-03-11T08:00:00Z,Availability,99.95,99.84,Yes,SA-009,Major,Yes,No
SLA-100,CUST-022,TKT-0198,2026-03-12T10:00:00Z,MTTR,4.0,3.9,No,SA-005,Minor,No,Yes
