trade_id,advisor_id,client_id,timestamp,instrument,action,pre_trade_check,post_trade_filing_status
STR-00026,ADV-014,CLI-002,2025-12-15T10:45:00Z,JPM,sell,False,complete
STR-00027,ADV-008,CLI-033,2025-12-15T10:48:00Z,UNH,short_sell,False,complete
STR-00028,ADV-010,CLI-025,2025-12-15T10:52:00Z,QQQ,short_sell,False,pending
STR-00029,ADV-006,CLI-040,2025-12-15T10:54:00Z,JPM,buy,False,complete
STR-00030,ADV-007,CLI-011,2025-12-15T10:59:00Z,BRK.B,buy,False,partial
STR-00031,ADV-016,CLI-020,2025-12-15T11:00:00Z,GOOG,buy,True,complete
STR-00032,ADV-009,CLI-023,2025-12-15T11:05:00Z,AMZN,sell,True,overdue
STR-00033,ADV-011,CLI-028,2025-12-15T11:06:00Z,UNH,sell,True,pending
STR-00034,ADV-016,CLI-017,2025-12-15T11:10:00Z,SPY,short_sell,True,pending
STR-00035,ADV-018,CLI-018,2025-12-15T11:12:00Z,QQQ,buy,True,partial
STR-00036,ADV-015,CLI-030,2025-12-15T11:15:00Z,MSFT,buy,True,complete
STR-00037,ADV-006,CLI-008,2025-12-15T11:18:00Z,IWM,short_sell,True,pending
STR-00038,ADV-023,CLI-029,2025-12-15T11:23:00Z,BRK.B,buy,True,pending
STR-00039,ADV-011,CLI-009,2025-12-15T11:24:00Z,QQQ,sell,False,partial
STR-00040,ADV-025,CLI-001,2025-12-15T11:27:00Z,QQQ,cover,True,complete
STR-00041,ADV-006,CLI-006,2025-12-15T11:31:00Z,BAC,cover,True,pending
STR-00042,ADV-008,CLI-010,2025-12-15T11:35:00Z,GS,sell,True,overdue
STR-00043,ADV-014,CLI-027,2025-12-15T11:37:00Z,QQQ,short_sell,True,complete
STR-00044,ADV-025,CLI-001,2025-12-15T11:41:00Z,SPY,buy,True,complete
STR-00045,ADV-013,CLI-011,2025-12-15T11:43:00Z,AAPL,cover,True,pending
STR-00046,ADV-021,CLI-010,2025-12-15T11:47:00Z,AAPL,short_sell,False,complete
STR-00047,ADV-022,CLI-036,2025-12-15T11:49:00Z,BND,short_sell,True,complete
STR-00048,ADV-009,CLI-034,2025-12-15T11:53:00Z,IWM,sell,False,complete
STR-00049,ADV-007,CLI-035,2025-12-15T11:56:00Z,SPY,cover,True,overdue
STR-00050,ADV-021,CLI-026,2025-12-15T11:57:00Z,IWM,short_sell,True,complete
STR-00051,ADV-011,CLI-025,2025-12-15T12:02:00Z,BND,sell,True,complete
STR-00052,ADV-017,CLI-036,2025-12-15T12:04:00Z,V,short_sell,True,complete
STR-00053,ADV-018,CLI-038,2025-12-15T12:07:00Z,GOOG,short_sell,False,partial
STR-00054,ADV-004,CLI-004,2025-12-15T12:10:00Z,JPM,short_sell,True,complete
STR-00055,ADV-021,CLI-008,2025-12-15T12:13:00Z,JPM,buy,False,complete
STR-00056,ADV-008,CLI-038,2025-12-15T12:17:00Z,BND,sell,True,complete
STR-00057,ADV-022,CLI-037,2025-12-15T12:20:00Z,AMZN,cover,True,complete
STR-00058,ADV-017,CLI-038,2025-12-15T12:21:00Z,QQQ,short_sell,False,complete
STR-00059,ADV-023,CLI-028,2025-12-15T12:25:00Z,MSFT,buy,True,complete
STR-00060,ADV-005,CLI-031,2025-12-15T12:27:00Z,BRK.B,buy,True,pending
STR-00061,ADV-013,CLI-038,2025-12-15T12:32:00Z,V,cover,True,pending
STR-00062,ADV-021,CLI-028,2025-12-15T12:34:00Z,BND,cover,False,overdue
STR-00063,ADV-005,CLI-033,2025-12-15T12:36:00Z,BRK.B,cover,True,partial
STR-00064,ADV-017,CLI-034,2025-12-15T12:39:00Z,BND,sell,False,complete
STR-00065,ADV-024,CLI-011,2025-12-15T12:44:00Z,BAC,buy,False,complete
STR-00066,ADV-012,CLI-037,2025-12-15T12:46:00Z,AAPL,sell,True,complete
STR-00067,ADV-012,CLI-020,2025-12-15T12:49:00Z,BRK.B,buy,True,complete
STR-00068,ADV-019,CLI-027,2025-12-15T12:51:00Z,IWM,short_sell,True,complete
STR-00069,ADV-024,CLI-032,2025-12-15T12:54:00Z,MSFT,short_sell,True,overdue
STR-00070,ADV-014,CLI-031,2025-12-15T12:59:00Z,JPM,cover,True,pending
STR-00071,ADV-016,CLI-039,2025-12-15T13:00:00Z,SPY,sell,False,pending
STR-00072,ADV-022,CLI-029,2025-12-15T13:03:00Z,QQQ,short_sell,True,pending
STR-00073,ADV-022,CLI-040,2025-12-15T13:07:00Z,GS,sell,False,complete
STR-00074,ADV-002,CLI-029,2025-12-15T13:11:00Z,JPM,buy,True,pending
STR-00075,ADV-019,CLI-020,2025-12-15T13:14:00Z,AGG,buy,True,complete
STR-00076,ADV-020,CLI-035,2025-12-15T13:17:00Z,SPY,buy,True,pending
STR-00077,ADV-017,CLI-002,2025-12-15T13:18:00Z,AGG,sell,True,complete
STR-00078,ADV-007,CLI-016,2025-12-15T13:23:00Z,QQQ,cover,True,overdue
STR-00079,ADV-020,CLI-021,2025-12-15T13:25:00Z,UNH,buy,False,overdue
STR-00080,ADV-001,CLI-022,2025-12-15T13:28:00Z,AMZN,cover,True,overdue
