approval_id,show_id,producer_id,timestamp,approval_type,status,approver,cycle_time_hours
APR-063,SHW-005,PRD-015,2026-03-13T10:30:00.890Z,creative,Approved,Marcus Webb - Director,7.5
APR-064,SHW-005,PRD-015,2026-03-13T15:00:00.445Z,legal,Pending,Legal Review Board,0.0
APR-065,SHW-003,PRD-003,2026-03-13T11:00:00.112Z,creative,Approved,Field Crew Lead,5.5
APR-066,SHW-004,PRD-024,2026-03-13T12:30:00.778Z,legal,Approved,Legal Review Board,30.0
APR-067,SHW-007,PRD-005,2026-03-14T09:00:00.334Z,creative,Approved,Nature Documentary Board,11.0
APR-068,SHW-007,PRD-005,2026-03-14T14:00:00.667Z,client,Pending,NET-005 Programming,0.0
APR-069,SHW-013,PRD-020,2026-03-14T10:30:00.223Z,creative,Approved,Podcast Review Panel,2.0
APR-070,SHW-011,PRD-004,2026-03-14T11:00:00.890Z,creative,Approved,Sports Director,2.5
APR-071,SHW-001,PRD-001,2026-03-15T09:00:00.445Z,creative,Approved,Sarah Mitchell - Director,5.2
APR-072,SHW-005,PRD-015,2026-03-15T10:30:00.112Z,creative,Approved,Marcus Webb - Director,8.0
APR-073,SHW-005,PRD-023,2026-03-15T14:00:00.778Z,creative,Approved,VFX Supervisor,9.5
APR-074,SHW-002,PRD-002,2026-03-15T11:30:00.334Z,creative,Approved,Pat Williams - Director,3.5
APR-075,SHW-008,PRD-016,2026-03-16T09:00:00.667Z,creative,Approved,Lifestyle Content Lead,4.2
APR-076,SHW-009,PRD-006,2026-03-16T10:30:00.223Z,creative,Approved,Director Review,4.0
APR-077,SHW-001,PRD-001,2026-03-17T09:00:00.890Z,creative,Approved,Sarah Mitchell - Director,4.5
APR-078,SHW-005,PRD-015,2026-03-18T10:00:00.445Z,creative,Approved,Marcus Webb - Director,6.0
APR-079,SHW-001,PRD-001,2026-03-19T09:30:00.112Z,client,Approved,GlobalTV Programming,42.0
APR-080,SHW-005,PRD-015,2026-03-19T14:00:00.778Z,network,Approved,NET-002 Standards,70.0
