clearance_id,rights_manager_id,show_id,holder_id,date,rights_type,territory,status,doc_time_min,cycle_days
RC-068,PRD-012,SHW-015,RH-025,2026-03-16,Archive Footage,Global,Cleared,50,6
RC-069,PRD-010,SHW-015,RH-001,2026-03-17,Music Sync,Global,Pending,105,5
RC-070,PRD-012,SHW-011,RH-007,2026-03-01,Stock Footage,Global,Cleared,38,4
RC-071,PRD-011,SHW-011,RH-011,2026-03-03,Talent Release,North America,Cleared,92,19
RC-072,PRD-010,SHW-011,RH-024,2026-03-04,Music Sync,Global,Cleared,22,1
RC-073,PRD-012,SHW-012,RH-030,2026-03-10,Stock Music,Global,Cleared,8,0
RC-074,PRD-010,SHW-012,RH-023,2026-03-11,Music Sync,Global,Cleared,14,1
RC-075,PRD-012,SHW-013,RH-030,2026-02-28,Stock Music,Global,Cleared,10,0
RC-076,PRD-010,SHW-013,RH-024,2026-03-01,Music Sync,Global,Cleared,16,1
RC-077,PRD-012,SHW-006,RH-027,2026-03-05,Sports Footage,North America,Cleared,72,8
RC-078,PRD-011,SHW-006,RH-011,2026-03-06,Talent Release,North America,Cleared,60,10
RC-079,PRD-012,SHW-007,RH-010,2026-03-08,News Footage,Global,Cleared,42,5
RC-080,PRD-010,SHW-007,RH-030,2026-03-09,Stock Music,Global,Cleared,8,0
RC-081,PRD-012,SHW-001,RH-029,2026-03-12,Archive Footage,North America,Cleared,44,7
RC-082,PRD-011,SHW-001,RH-012,2026-03-14,Writer Credit,North America,Cleared,78,18
RC-083,PRD-010,SHW-005,RH-022,2026-03-16,Music Sync,Asia-Pacific,Cleared,88,14
RC-084,PRD-012,SHW-005,RH-016,2026-03-17,Archive Footage,UK/Europe,Cleared,56,12
RC-085,PRD-011,SHW-009,RH-013,2026-03-19,Director Credit,Global,Cleared,72,16
RC-086,PRD-010,SHW-009,RH-005,2026-03-20,Music Performance,North America,Cleared,58,6
RC-087,PRD-012,SHW-004,RH-017,2026-03-20,Archive Footage,UK/Europe,Cleared,62,14
RC-088,PRD-011,SHW-004,RH-019,2026-03-21,Format Rights,Global,Pending,148,1
RC-089,PRD-010,SHW-003,RH-004,2026-03-21,Music Performance,North America,Cleared,55,7
RC-090,PRD-012,SHW-003,RH-009,2026-03-22,News Footage,Global,Cleared,44,5
RC-091,PRD-011,SHW-002,RH-013,2026-03-15,Director Credit,North America,Cleared,68,14
RC-092,PRD-010,SHW-002,RH-001,2026-03-16,Music Sync,Global,Cleared,98,16
RC-093,PRD-012,SHW-002,RH-007,2026-03-18,Stock Footage,Global,Cleared,30,2
RC-094,PRD-011,SHW-008,RH-011,2026-03-10,Talent Release,North America,Cleared,65,12
RC-095,PRD-010,SHW-014,RH-004,2026-03-14,Music Performance,North America,Cleared,55,7
RC-096,PRD-012,SHW-014,RH-010,2026-03-15,News Footage,Global,Cleared,40,5
RC-097,PRD-011,SHW-015,RH-013,2026-03-18,Director Credit,Global,Pending,75,4
RC-098,PRD-010,SHW-015,RH-024,2026-03-19,Music Sync,Global,Cleared,18,1
RC-099,PRD-012,SHW-011,RH-006,2026-03-20,Stock Footage,Global,Cleared,36,3
RC-100,PRD-011,SHW-011,RH-014,2026-03-22,Brand Placement,North America,Pending,138,0
