unit_id,name,type,market_id,address,lat,lng,faces,illuminated,digital,size,monthly_rate
UNIT-036,Disney Springs Area,street_furniture,MKT-006,1486 Buena Vista Dr,28.3711,-81.5182,2,true,false,6x4,5200
UNIT-037,I-95 South Corridor,bulletin,MKT-001,I-95 SB MP 35,40.7200,-74.0100,2,true,false,14x48,17200
UNIT-038,Herald Square Digital,digital_billboard,MKT-001,1293 Broadway,40.7484,-73.9878,1,true,true,15x50,40000
UNIT-039,Midtown Tunnel Portal,poster,MKT-001,E 36th St & 2nd Ave,40.7461,-73.9734,2,true,false,12x24,10200
UNIT-040,Wrigley Field Area,poster,MKT-002,3600 N Clark St,41.9484,-87.6553,2,true,false,12x24,8500
UNIT-041,Dan Ryan Expressway,bulletin,MKT-002,I-94 NB MP 55,41.8300,-87.6300,2,true,false,14x48,13800
UNIT-042,Navy Pier Entrance,street_furniture,MKT-002,600 E Grand Ave,41.8917,-87.6063,2,true,true,6x4,7500
UNIT-043,LAX Airport Approach,bulletin,MKT-003,Century Blvd & Sepulveda,33.9500,-118.3950,2,true,false,14x48,15500
UNIT-044,Beverly Hills Rodeo,street_furniture,MKT-003,9700 Wilshire Blvd,34.0695,-118.4013,2,true,true,6x4,9500
UNIT-045,I-10 East Downtown,poster,MKT-003,I-10 EB at Alameda St,34.0400,-118.2350,2,true,false,12x24,8800
UNIT-046,Texas Medical Center,poster,MKT-004,Fannin St & Old Spanish Trail,29.7100,-95.4100,2,true,false,12x24,6500
UNIT-047,Energy Corridor Billboard,bulletin,MKT-004,I-10 WB at Hwy 6,29.7700,-95.6300,2,true,false,14x48,10200
UNIT-048,Midtown Houston Digital,digital_billboard,MKT-004,3300 Main St,29.7440,-95.3830,1,true,true,10x30,22000
UNIT-049,Buckhead Triangle,poster,MKT-005,Peachtree & Piedmont,33.8500,-84.3600,2,true,false,12x24,7800
UNIT-050,I-20 West Corridor,bulletin,MKT-005,I-20 WB MP 52,33.7400,-84.5100,2,true,false,14x48,10500
UNIT-051,BeltLine Eastside Trail,street_furniture,MKT-005,Eastside Trail & Irwin St,33.7630,-84.3590,2,true,false,6x4,5400
UNIT-052,Kissimmee Gateway,bulletin,MKT-006,US-192 & I-4 Junction,28.3400,-81.4100,2,true,false,14x48,8900
UNIT-053,Universal Studios Blvd,poster,MKT-006,Universal Blvd & Carrier Dr,28.4750,-81.4620,2,true,false,12x24,7200
UNIT-054,Colonial Drive Digital,digital_billboard,MKT-006,Colonial Dr & I-4,28.5500,-81.4000,1,true,true,10x30,18000
UNIT-055,Grand Central Digital,digital_billboard,MKT-001,280 Park Ave,40.7527,-73.9757,1,true,true,10x30,36000
UNIT-056,Lincoln Tunnel Approach,bulletin,MKT-001,NJ-495 EB at Helix,40.7612,-74.0202,2,true,false,14x48,15800
UNIT-057,Bucktown Poster,poster,MKT-002,North & Damen Ave,41.9106,-87.6771,2,true,false,12x24,7800
UNIT-058,Wilshire Grand Digital,digital_billboard,MKT-003,900 Wilshire Blvd,34.0498,-118.2602,1,true,true,15x50,32000
UNIT-059,Midtown ATL Digital,digital_billboard,MKT-005,1100 Peachtree St NE,33.7869,-84.3838,1,true,true,10x30,24000
UNIT-060,Lake Nona Town Center,street_furniture,MKT-006,Tavistock Lakes Blvd,28.3700,-81.2400,2,true,false,6x4,4000
