entry_id,attorney_id,matter_id,date,task_type,hours_worked,hours_billed,narrative,entry_time_min,write_down_pct
TE-0063,ATT-028,MAT-025,2026-01-20,TSK-008,5.2,4.9,Internal strategy memorandum,17,15.0
TE-0064,ATT-004,MAT-002,2026-01-15,TSK-010,7.3,5.9,Due diligence document review,9,4.9
TE-0065,ATT-012,MAT-006,2026-01-05,TSK-017,3.5,2.9,Prepared court filing package,13,2.5
TE-0066,ATT-020,MAT-015,2026-03-16,TSK-005,2.1,2.0,Negotiation session with counterparty,16,6.9
TE-0067,ATT-029,MAT-036,2026-03-22,TSK-006,0.9,0.9,Privilege review of document batch,10,0.0
TE-0068,ATT-021,MAT-014,2026-02-23,TSK-015,6.8,6.6,Legal research on statute of limitations,14,15.0
TE-0069,ATT-008,MAT-022,2026-02-19,TSK-019,2.6,2.5,Prepared court filing package,17,0.3
TE-0070,ATT-009,MAT-014,2026-03-19,TSK-002,7.3,6.4,Privilege review of document batch,35,18.9
TE-0071,ATT-025,MAT-009,2026-02-20,TSK-008,5.2,4.9,Prepared deposition outline,16,10.2
TE-0072,ATT-021,MAT-026,2026-03-21,TSK-002,2.7,2.4,Prepared deposition outline,22,0.5
TE-0073,ATT-003,MAT-028,2026-03-11,TSK-014,1.7,1.6,Due diligence document review,22,20.7
TE-0074,ATT-017,MAT-039,2026-01-09,TSK-009,7.3,6.3,Revised brief per partner comments,23,14.5
TE-0075,ATT-026,MAT-004,2026-01-15,TSK-005,6.1,5.8,Prepared court filing package,15,12.9
TE-0076,ATT-028,MAT-039,2026-02-03,TSK-001,2.3,2.1,Analyzed regulatory filing requirements,11,6.8
TE-0077,ATT-019,MAT-015,2026-03-27,TSK-012,1.1,1.0,Matter file organization,15,7.1
TE-0078,ATT-011,MAT-039,2026-01-21,TSK-015,7.3,6.0,Drafted motion for summary judgment,17,9.7
TE-0079,ATT-002,MAT-009,2026-01-16,TSK-004,2.1,1.9,Matter file organization,25,2.0
TE-0080,ATT-014,MAT-003,2026-03-14,TSK-004,6.7,5.7,Due diligence document review,21,14.1
TE-0081,ATT-007,MAT-018,2026-01-15,TSK-012,1.1,1.1,Due diligence document review,19,8.2
TE-0082,ATT-002,MAT-009,2026-01-09,TSK-004,7.6,6.4,Research case law precedents,22,1.4
TE-0083,ATT-001,MAT-002,2026-02-26,TSK-008,7.9,7.5,Discovery document coding,14,1.0
TE-0084,ATT-019,MAT-018,2026-01-27,TSK-011,6.3,6.3,Prepared deposition outline,8,4.2
TE-0085,ATT-018,MAT-016,2026-01-26,TSK-004,5.4,4.9,Due diligence document review,5,0.0
TE-0086,ATT-026,MAT-004,2026-02-19,TSK-001,1.6,1.4,Legal research on statute of limitations,9,1.9
TE-0087,ATT-024,MAT-038,2026-02-16,TSK-012,4.3,3.6,Research case law precedents,11,6.8
TE-0088,ATT-002,MAT-007,2026-03-26,TSK-017,2.6,2.3,Prepared court filing package,8,0.9
TE-0089,ATT-014,MAT-003,2026-03-16,TSK-015,0.9,0.7,Prepared deposition outline,10,4.8
TE-0090,ATT-009,MAT-007,2026-03-21,TSK-018,5.8,4.5,Negotiation session with counterparty,24,29.9
TE-0091,ATT-017,MAT-039,2026-01-14,TSK-004,6.9,5.8,Negotiation session with counterparty,25,10.8
TE-0092,ATT-029,MAT-017,2026-02-14,TSK-015,3.4,3.2,Revised brief per partner comments,6,0.0
TE-0093,ATT-022,MAT-026,2026-01-12,TSK-016,0.8,0.7,Due diligence document review,10,1.4
TE-0094,ATT-026,MAT-004,2026-01-18,TSK-019,7.7,6.3,Due diligence document review,25,4.9
TE-0095,ATT-028,MAT-039,2026-03-28,TSK-002,7.8,7.1,Discovery document coding,17,5.3
TE-0096,ATT-005,MAT-039,2026-01-16,TSK-004,3.0,2.9,Redline review and markup,25,5.5
TE-0097,ATT-008,MAT-022,2026-03-28,TSK-020,5.0,4.9,Analyzed regulatory filing requirements,25,0.4
TE-0098,ATT-001,MAT-002,2026-03-09,TSK-010,7.4,7.2,Redline review and markup,19,0.1
TE-0099,ATT-022,MAT-030,2026-01-03,TSK-001,1.0,0.9,Revised brief per partner comments,24,3.2
TE-0100,ATT-006,MAT-013,2026-03-10,TSK-011,6.3,5.2,Research case law precedents,10,13.3
TE-0101,ATT-002,MAT-007,2026-02-03,TSK-015,5.4,4.8,Discovery document coding,23,9.1
TE-0102,ATT-025,MAT-032,2026-02-04,TSK-014,1.2,1.0,Drafted correspondence to opposing counsel,23,7.9
TE-0103,ATT-013,MAT-040,2026-01-01,TSK-010,7.6,7.4,Privilege review of document batch,7,0.0
TE-0104,ATT-011,MAT-023,2026-02-01,TSK-014,1.7,1.4,Matter file organization,20,8.0
TE-0105,ATT-027,MAT-039,2026-02-26,TSK-003,3.4,3.0,Client conference re strategy,9,6.5
TE-0106,ATT-028,MAT-039,2026-02-19,TSK-019,3.4,3.0,Revised brief per partner comments,21,4.3
TE-0107,ATT-006,MAT-013,2026-03-27,TSK-012,1.0,0.9,Conflict of interest check,11,3.6
TE-0108,ATT-003,MAT-028,2026-02-28,TSK-011,2.0,1.7,Legal research on statute of limitations,42,8.4
TE-0109,ATT-017,MAT-039,2026-02-07,TSK-012,5.9,4.9,Discovery document coding,12,3.5
TE-0110,ATT-006,MAT-036,2026-03-25,TSK-003,1.7,1.6,Redline review and markup,23,7.0
TE-0111,ATT-015,MAT-007,2026-03-28,TSK-011,1.5,1.4,Analyzed regulatory filing requirements,10,7.0
TE-0112,ATT-019,MAT-025,2026-03-12,TSK-003,2.7,2.4,Privilege review of document batch,22,0.6
TE-0113,ATT-003,MAT-038,2026-03-20,TSK-017,3.3,3.0,Drafted motion for summary judgment,36,16.1
TE-0114,ATT-015,MAT-015,2026-03-11,TSK-016,4.2,4.0,Revised brief per partner comments,9,6.8
TE-0115,ATT-023,MAT-017,2026-03-17,TSK-006,0.6,0.6,Conflict of interest check,12,0.0
TE-0116,ATT-017,MAT-039,2026-02-06,TSK-012,7.4,6.4,Research case law precedents,20,6.1
TE-0117,ATT-002,MAT-007,2026-02-21,TSK-003,2.8,2.4,Research case law precedents,25,10.2
TE-0118,ATT-028,MAT-025,2026-01-11,TSK-019,5.4,5.0,Prepared court filing package,19,4.7
TE-0119,ATT-005,MAT-039,2026-01-23,TSK-010,4.6,4.3,Conflict of interest check,18,12.2
TE-0120,ATT-003,MAT-028,2026-02-17,TSK-001,3.1,2.4,Billing narrative preparation,23,24.0
TE-0121,ATT-007,MAT-029,2026-01-05,TSK-003,2.6,2.4,Conflict of interest check,11,7.6
TE-0122,ATT-002,MAT-007,2026-03-11,TSK-005,4.9,4.7,Research case law precedents,12,2.4
TE-0123,ATT-026,MAT-004,2026-02-24,TSK-002,3.5,3.2,Negotiation session with counterparty,15,14.5
TE-0124,ATT-008,MAT-018,2026-02-08,TSK-016,7.3,7.2,Negotiation session with counterparty,14,5.5
TE-0125,ATT-015,MAT-007,2026-02-25,TSK-017,4.4,4.2,Prepared deposition outline,13,12.3
TE-0126,ATT-028,MAT-039,2026-03-02,TSK-016,7.0,6.6,Conflict of interest check,25,14.0
TE-0127,ATT-028,MAT-025,2026-01-10,TSK-006,2.4,2.1,Drafted correspondence to opposing counsel,24,2.2
TE-0128,ATT-027,MAT-028,2026-01-12,TSK-014,0.7,0.6,Client conference re strategy,24,5.6
TE-0129,ATT-012,MAT-008,2026-02-01,TSK-004,6.8,5.6,Privilege review of document batch,18,11.9
TE-0130,ATT-030,MAT-028,2026-01-23,TSK-016,3.8,3.1,Discovery document coding,8,13.6
TE-0131,ATT-027,MAT-011,2026-03-18,TSK-020,4.4,3.7,Legal research on statute of limitations,11,11.6
TE-0132,ATT-002,MAT-015,2026-03-14,TSK-020,3.8,3.4,Matter file organization,11,12.6
TE-0133,ATT-001,MAT-002,2026-01-23,TSK-010,3.6,3.2,Client conference re strategy,19,3.6
TE-0134,ATT-017,MAT-005,2026-03-03,TSK-018,4.2,3.7,Billing narrative preparation,24,8.3
TE-0135,ATT-002,MAT-007,2026-02-13,TSK-009,6.1,5.3,Legal research on statute of limitations,19,11.8
TE-0136,ATT-025,MAT-032,2026-02-24,TSK-005,0.6,0.6,Negotiation session with counterparty,25,5.1
TE-0137,ATT-023,MAT-009,2026-01-21,TSK-005,0.8,0.7,Discovery document coding,12,0.0
TE-0138,ATT-002,MAT-015,2026-02-02,TSK-010,4.3,3.5,Discovery document coding,25,7.1
TE-0139,ATT-010,MAT-007,2026-01-28,TSK-011,2.4,2.1,Negotiation session with counterparty,19,6.6
TE-0140,ATT-029,MAT-001,2026-01-11,TSK-016,5.6,5.6,Conflict of interest check,10,0.0
TE-0141,ATT-009,MAT-014,2026-02-24,TSK-003,3.6,2.6,Client conference re strategy,17,20.0
TE-0142,ATT-011,MAT-017,2026-02-10,TSK-020,5.8,5.0,Drafted motion for summary judgment,13,10.3
TE-0143,ATT-024,MAT-026,2026-02-20,TSK-009,5.2,4.8,Due diligence document review,9,1.1
TE-0144,ATT-017,MAT-039,2026-01-22,TSK-001,1.4,1.1,Due diligence document review,22,0.5
TE-0145,ATT-012,MAT-006,2026-01-19,TSK-020,1.5,1.3,Client conference re strategy,22,14.2
TE-0146,ATT-019,MAT-018,2026-02-17,TSK-013,2.7,2.2,Reviewed contract redlines,16,3.7
TE-0147,ATT-016,MAT-023,2026-01-18,TSK-009,6.3,5.8,Billing narrative preparation,22,3.2
TE-0148,ATT-007,MAT-015,2026-01-05,TSK-015,1.6,1.5,Revised brief per partner comments,22,15.0
TE-0149,ATT-022,MAT-026,2026-01-23,TSK-018,4.5,4.2,Reviewed contract redlines,17,12.8
TE-0150,ATT-026,MAT-008,2026-01-17,TSK-004,7.9,7.1,Due diligence document review,12,3.6
TE-0151,ATT-018,MAT-011,2026-02-12,TSK-018,1.3,1.2,Prepared court filing package,6,0.0
TE-0152,ATT-023,MAT-016,2026-03-16,TSK-014,6.2,5.6,Revised brief per partner comments,14,0.0
TE-0153,ATT-021,MAT-026,2026-02-15,TSK-017,3.0,2.5,Prepared deposition outline,25,9.6
TE-0154,ATT-014,MAT-003,2026-01-27,TSK-017,1.5,1.5,Drafted correspondence to opposing counsel,13,2.4
TE-0155,ATT-012,MAT-036,2026-01-10,TSK-009,1.8,1.7,Research case law precedents,25,4.1
TE-0156,ATT-018,MAT-035,2026-03-17,TSK-006,4.9,4.5,Research case law precedents,14,0.0
TE-0157,ATT-024,MAT-026,2026-03-27,TSK-002,6.7,6.6,Redline review and markup,8,1.2
TE-0158,ATT-009,MAT-007,2026-03-07,TSK-014,5.1,4.1,Privilege review of document batch,12,19.0
TE-0159,ATT-021,MAT-005,2026-01-16,TSK-013,2.6,2.2,Internal strategy memorandum,10,10.3
TE-0160,ATT-016,MAT-023,2026-02-07,TSK-020,1.4,1.4,Prepared court filing package,18,11.0
TE-0161,ATT-005,MAT-033,2026-03-17,TSK-004,2.8,2.5,Prepared deposition outline,22,1.8
TE-0162,ATT-004,MAT-002,2026-02-10,TSK-020,3.5,3.5,Revised brief per partner comments,13,12.2
TE-0163,ATT-007,MAT-029,2026-03-16,TSK-015,4.1,3.4,Prepared court filing package,17,7.5
TE-0164,ATT-017,MAT-005,2026-01-08,TSK-019,3.0,2.8,Billing narrative preparation,9,4.2
TE-0165,ATT-010,MAT-025,2026-01-28,TSK-014,1.3,1.2,Due diligence document review,16,10.9
TE-0166,ATT-002,MAT-009,2026-03-02,TSK-018,1.8,1.6,Negotiation session with counterparty,25,4.3
TE-0167,ATT-025,MAT-032,2026-03-09,TSK-020,1.2,1.2,Revised brief per partner comments,11,5.9
TE-0168,ATT-018,MAT-016,2026-01-25,TSK-007,4.9,4.7,Drafted motion for summary judgment,11,0.0
TE-0169,ATT-002,MAT-015,2026-02-23,TSK-016,4.3,3.9,Revised brief per partner comments,12,9.1
TE-0170,ATT-030,MAT-019,2026-02-06,TSK-020,6.0,5.4,Conflict of interest check,17,8.9
TE-0171,ATT-018,MAT-016,2026-03-23,TSK-010,4.0,3.7,Legal research on statute of limitations,5,0.0
TE-0172,ATT-014,MAT-015,2026-03-26,TSK-001,4.9,4.7,Redline review and markup,16,14.5
TE-0173,ATT-019,MAT-018,2026-01-24,TSK-019,4.0,3.7,Prepared court filing package,24,9.4
TE-0174,ATT-005,MAT-039,2026-01-08,TSK-019,7.6,6.8,Internal strategy memorandum,11,2.9
TE-0175,ATT-005,MAT-033,2026-01-23,TSK-014,4.2,4.0,Drafted motion for summary judgment,23,13.1
TE-0176,ATT-023,MAT-017,2026-01-17,TSK-018,2.8,2.7,Prepared court filing package,15,0.0
TE-0177,ATT-011,MAT-039,2026-03-15,TSK-011,4.5,3.8,Drafted correspondence to opposing counsel,16,9.2
TE-0178,ATT-009,MAT-007,2026-01-10,TSK-010,6.2,5.1,Revised brief per partner comments,34,12.6
TE-0179,ATT-016,MAT-011,2026-03-18,TSK-009,2.5,2.5,Due diligence document review,25,5.7
TE-0180,ATT-025,MAT-009,2026-01-10,TSK-010,7.7,6.8,Analyzed regulatory filing requirements,10,5.2
TE-0181,ATT-024,MAT-024,2026-01-07,TSK-018,2.4,2.0,Research case law precedents,25,10.4
TE-0182,ATT-024,MAT-028,2026-01-08,TSK-017,2.0,1.8,Billing narrative preparation,15,0.8
TE-0183,ATT-004,MAT-002,2026-03-01,TSK-006,3.4,2.9,Privilege review of document batch,23,7.2
TE-0184,ATT-011,MAT-017,2026-01-21,TSK-003,5.3,5.0,Drafted motion for summary judgment,15,8.0
TE-0185,ATT-030,MAT-008,2026-01-14,TSK-002,8.0,6.7,Privilege review of document batch,20,11.8
TE-0186,ATT-029,MAT-034,2026-02-01,TSK-019,4.9,4.5,Matter file organization,10,0.0
TE-0187,ATT-017,MAT-005,2026-03-05,TSK-015,2.4,2.3,Analyzed regulatory filing requirements,11,5.0
TE-0188,ATT-023,MAT-017,2026-03-01,TSK-011,6.4,6.2,Discovery document coding,14,0.0
TE-0189,ATT-006,MAT-013,2026-02-27,TSK-017,2.8,2.3,Prepared deposition outline,20,10.0
TE-0190,ATT-016,MAT-011,2026-01-08,TSK-009,3.3,3.3,Privilege review of document batch,22,11.3
TE-0191,ATT-019,MAT-021,2026-02-01,TSK-012,5.6,5.0,Reviewed contract redlines,9,10.0
TE-0192,ATT-013,MAT-037,2026-01-23,TSK-010,3.1,2.9,Prepared deposition outline,8,0.0
TE-0193,ATT-016,MAT-024,2026-03-15,TSK-020,3.2,3.0,Discovery document coding,25,13.7
TE-0194,ATT-025,MAT-009,2026-03-22,TSK-003,4.3,3.5,Redline review and markup,24,10.6
TE-0195,ATT-004,MAT-002,2026-03-27,TSK-017,1.9,1.6,Conflict of interest check,25,2.2
TE-0196,ATT-015,MAT-006,2026-01-22,TSK-019,4.1,3.3,Prepared deposition outline,24,6.7
TE-0197,ATT-017,MAT-005,2026-03-15,TSK-002,4.6,4.0,Reviewed and analyzed documents,17,10.8
TE-0198,ATT-024,MAT-028,2026-01-19,TSK-002,3.6,2.9,Client conference re strategy,10,8.1
TE-0199,ATT-030,MAT-028,2026-02-02,TSK-014,1.7,1.7,Internal strategy memorandum,12,11.5
TE-0200,ATT-012,MAT-006,2026-02-15,TSK-013,0.9,0.9,Legal research on statute of limitations,25,2.0
TE-0201,ATT-006,MAT-013,2026-01-17,TSK-008,6.7,6.0,Matter file organization,8,14.7
TE-0202,ATT-014,MAT-015,2026-01-27,TSK-008,3.8,3.8,Legal research on statute of limitations,12,4.1
TE-0203,ATT-002,MAT-007,2026-03-14,TSK-001,2.2,1.8,Research case law precedents,10,1.5
TE-0204,ATT-022,MAT-014,2026-03-08,TSK-002,3.4,3.2,Drafted motion for summary judgment,15,8.1
TE-0205,ATT-005,MAT-039,2026-01-10,TSK-019,2.8,2.7,Conflict of interest check,18,3.6
TE-0206,ATT-008,MAT-022,2026-02-10,TSK-002,4.6,4.1,Billing narrative preparation,13,9.4
TE-0207,ATT-002,MAT-009,2026-03-21,TSK-013,6.4,5.6,Privilege review of document batch,18,10.4
TE-0208,ATT-013,MAT-024,2026-03-25,TSK-016,2.2,2.0,Prepared deposition outline,8,0.0
TE-0209,ATT-026,MAT-008,2026-03-02,TSK-014,7.8,6.8,Analyzed regulatory filing requirements,25,7.9
TE-0210,ATT-007,MAT-038,2026-01-21,TSK-015,6.8,6.6,Drafted motion for summary judgment,10,8.0
TE-0211,ATT-009,MAT-022,2026-03-22,TSK-020,0.6,0.5,Matter file organization,14,12.1
TE-0212,ATT-007,MAT-018,2026-02-07,TSK-010,7.7,6.5,Legal research on statute of limitations,8,3.2
TE-0213,ATT-024,MAT-024,2026-03-08,TSK-020,5.7,5.2,Privilege review of document batch,20,13.7
TE-0214,ATT-013,MAT-013,2026-03-18,TSK-012,2.7,2.6,Billing narrative preparation,10,0.0
TE-0215,ATT-015,MAT-006,2026-03-26,TSK-016,6.2,5.4,Internal strategy memorandum,18,13.7
TE-0216,ATT-002,MAT-007,2026-01-28,TSK-005,0.4,0.4,Internal strategy memorandum,25,14.0
TE-0217,ATT-010,MAT-025,2026-02-07,TSK-008,3.2,3.0,Revised brief per partner comments,15,7.5
TE-0218,ATT-009,MAT-022,2026-03-24,TSK-016,3.8,2.6,Matter file organization,35,25.5
TE-0219,ATT-016,MAT-024,2026-03-18,TSK-002,4.3,4.0,Reviewed and analyzed documents,10,14.2
TE-0220,ATT-014,MAT-003,2026-03-27,TSK-008,0.8,0.7,Due diligence document review,12,0.1
TE-0221,ATT-002,MAT-007,2026-03-21,TSK-020,7.3,6.6,Internal strategy memorandum,23,0.2
TE-0222,ATT-001,MAT-002,2026-03-17,TSK-009,4.4,4.2,Internal strategy memorandum,17,0.3
TE-0223,ATT-026,MAT-004,2026-01-04,TSK-017,1.4,1.2,Due diligence document review,14,9.3
TE-0224,ATT-009,MAT-022,2026-02-03,TSK-013,3.8,2.7,Client conference re strategy,19,29.8
TE-0225,ATT-021,MAT-026,2026-02-03,TSK-013,3.2,2.6,Reviewed contract redlines,23,0.8
TE-0226,ATT-003,MAT-028,2026-02-28,TSK-011,4.7,4.3,Drafted motion for summary judgment,45,24.5
TE-0227,ATT-008,MAT-028,2026-03-28,TSK-019,4.0,3.7,Analyzed regulatory filing requirements,9,13.9
TE-0228,ATT-029,MAT-008,2026-03-19,TSK-002,1.7,1.5,Discovery document coding,10,0.0
TE-0229,ATT-019,MAT-018,2026-03-25,TSK-013,7.5,6.4,Prepared court filing package,17,2.4
TE-0230,ATT-022,MAT-026,2026-03-13,TSK-005,6.4,6.4,Drafted motion for summary judgment,10,7.5
TE-0231,ATT-004,MAT-006,2026-01-08,TSK-011,5.0,4.3,Analyzed regulatory filing requirements,20,14.5
TE-0232,ATT-026,MAT-008,2026-01-16,TSK-012,4.6,4.3,Prepared court filing package,20,6.5
TE-0233,ATT-003,MAT-028,2026-01-26,TSK-003,0.9,0.8,Prepared deposition outline,22,12.6
TE-0234,ATT-024,MAT-024,2026-02-11,TSK-004,1.0,1.0,Legal research on statute of limitations,17,6.7
TE-0235,ATT-005,MAT-015,2026-02-06,TSK-015,4.6,3.7,Due diligence document review,24,6.1
TE-0236,ATT-018,MAT-035,2026-03-20,TSK-011,7.0,6.5,Prepared court filing package,5,0.0
TE-0237,ATT-025,MAT-009,2026-03-24,TSK-008,4.7,3.9,Analyzed regulatory filing requirements,13,10.3
TE-0238,ATT-010,MAT-007,2026-01-16,TSK-003,1.6,1.4,Client conference re strategy,16,6.3
TE-0239,ATT-012,MAT-025,2026-03-08,TSK-016,4.9,4.1,Reviewed and analyzed documents,14,6.9
TE-0240,ATT-013,MAT-037,2026-03-27,TSK-013,6.5,6.1,Internal strategy memorandum,10,0.0
TE-0241,ATT-027,MAT-039,2026-01-20,TSK-010,2.8,2.3,Prepared court filing package,14,7.2
TE-0242,ATT-011,MAT-017,2026-03-24,TSK-016,7.8,6.7,Prepared court filing package,15,4.9
TE-0243,ATT-012,MAT-035,2026-01-19,TSK-019,8.0,7.3,Negotiation session with counterparty,13,10.2
TE-0244,ATT-023,MAT-017,2026-02-15,TSK-003,6.6,6.4,Prepared deposition outline,11,0.0
TE-0245,ATT-021,MAT-005,2026-02-08,TSK-005,5.8,5.8,Billing narrative preparation,20,1.1
TE-0246,ATT-019,MAT-015,2026-03-18,TSK-014,4.5,4.3,Research case law precedents,19,10.5
TE-0247,ATT-021,MAT-026,2026-01-04,TSK-012,1.6,1.5,Prepared court filing package,9,8.4
TE-0248,ATT-025,MAT-033,2026-02-26,TSK-004,0.4,0.4,Matter file organization,16,3.3
TE-0249,ATT-019,MAT-021,2026-02-08,TSK-012,3.3,3.3,Billing narrative preparation,24,2.3
TE-0250,ATT-004,MAT-006,2026-01-14,TSK-004,6.7,5.8,Discovery document coding,12,5.2
TE-0251,ATT-017,MAT-005,2026-02-12,TSK-004,3.7,3.2,Legal research on statute of limitations,22,4.8
